"lga","acc_year","acc_month","acc_nos","acc_vehicles","acc_persons","acc_cyclists","acc_females","acc_males","acc_deaths","acc_injs","acc_avgage","acc_avgsev","acc_lat","acc_long","acc_citydist","acc_date","acc_genderbal"
"West Wimmera","2006","1","1","1","1","0","0","1","0","1","18.0000","2.0000","-36.826095315057685","141.15932665266357","353.5233748216885","15/01/2006","1"
"Glenelg","2006","1","9","15","25","0","11","12","0","17","37.0435","1.4444","-38.123206028405406","141.50223327027942","305.06809821229314","15/01/2006","1"
"Hindmarsh","2006","1","1","1","2","0","1","1","0","2","36.5000","1.0000","-36.491796928099234","141.6506898110351","327.9938887089208","15/01/2006","0"
"Southern Grampians","2006","1","3","5","6","0","2","4","0","3","49.3333","1.0000","-37.59701055535191","142.00161511876806","261.3667384316504","15/01/2006","2"
"Mildura","2006","1","15","21","40","0","10","29","0","23","30.0513","1.3333","-34.48830958149196","142.0735510454268","451.3973540079215","15/01/2006","19"
"Horsham","2006","1","7","9","17","0","7","10","1","14","20.4118","2.0000","-36.70171976137608","142.2379602921487","270.7286440924887","15/01/2006","3"
"Moyne","2006","1","4","5","6","0","3","2","0","5","33.6000","1.5000","-38.33245572523382","142.42971643551556","228.91362444686695","15/01/2006","-1"
"Warrnambool","2006","1","4","6","9","0","4","5","0","4","37.5556","2.0000","-38.37527606856833","142.4849919760275","225.4485887622002","15/01/2006","1"
"Ararat","2006","1","2","3","4","0","3","1","0","3","37.0000","1.0000","-37.44235572325586","142.8065087509317","194.076119919277","15/01/2006","-2"
"Northern Grampians","2006","1","4","4","10","0","3","5","0","6","16.3333","1.0000","-36.92938691747727","142.89535245859057","207.21029866308223","15/01/2006","2"
"Buloke","2006","1","4","6","6","0","1","5","1","3","47.8333","1.7500","-35.643346304187475","143.00992918826128","297.2914155943284","15/01/2006","4"
"Corangamite","2006","1","7","8","9","0","6","3","0","8","29.5556","1.4286","-38.37088818931182","143.01377194017485","181.28797150998858","15/01/2006","-3"
"Swan Hill","2006","1","7","8","16","0","3","12","0","9","26.5333","1.5714","-35.35062832890376","143.4751019989024","304.1738402016956","15/01/2006","9"
"Pyrenees","2006","1","2","2","4","0","2","2","0","3","40.0000","1.0000","-37.521859616222926","143.56722697418735","126.79466196375702","15/01/2006","0"
"Colac-Otway","2006","1","6","10","13","1","4","9","2","8","36.6923","1.5000","-38.505851294385764","143.61485053234347","140.62767197038045","15/01/2006","5"
"Central Goldfields","2006","1","4","5","7","0","1","5","0","5","67.3333","1.5000","-37.03141908619588","143.70252071874725","140.99546370284725","15/01/2006","4"
"Loddon","2006","1","6","7","12","0","4","8","0","11","43.6667","1.5000","-36.540419389390095","143.8043380815641","174.6343919311079","15/01/2006","4"
"Ballarat","2006","1","12","25","32","3","15","16","0","17","32.7188","1.1667","-37.55489218876161","143.84911994935564","101.88396663926373","15/01/2006","1"
"Golden Plains","2006","1","3","4","5","0","1","4","0","4","50.8000","1.0000","-37.842234901370894","143.85301997010677","97.29359774816308","15/01/2006","3"
"Gannawarra","2006","1","3","3","8","0","0","8","1","7","28.6250","2.0000","-35.76958621222301","144.01638365348455","242.21921250724134","15/01/2006","8"
"Surf Coast","2006","1","19","24","30","1","7","22","0","23","32.5667","1.4211","-38.40522581094597","144.0943573463899","100.39883791407017","15/01/2006","15"
"Hepburn","2006","1","3","4","6","0","1","5","0","3","37.8333","1.6667","-37.34304221606346","144.18583672805423","85.92300254727657","15/01/2006","4"
"Mount Alexander","2006","1","1","1","2","0","0","1","0","1","34.0000","2.0000","-37.0645627788323","144.21701598368577","105.94313961692967","15/01/2006","1"
"Greater Bendigo","2006","1","15","21","33","0","9","23","0","22","27.5938","1.4000","-36.78573944464318","144.2995386774336","128.2680374921807","15/01/2006","14"
"Moorabool","2006","1","6","9","14","0","7","6","0","10","38.6429","1.5000","-37.62900650150434","144.3057159161152","61.07588562824812","15/01/2006","-1"
"Greater Geelong","2006","1","40","79","125","4","59","61","1","52","31.8852","1.4250","-38.14766216317131","144.37250868384248","63.56559671573219","15/01/2006","2"
