"point_name","point_value","acc_lat","acc_long","grid_fromlat","grid_fromlong","grid_tolat","grid_tolong"
"Average Age","36.538461538","-37.857596459634564","144.88510089142125","-37.855","144.88","-37.86","144.889375"
"Average Age","32.088235294","-37.857984452409084","144.8949733801458","-37.855","144.889375","-37.86","144.89875"
"Average Age","38.192307692","-37.859251118549444","144.9012799301665","-37.855","144.89875","-37.86","144.908125"
"Average Age","36.000000000","-37.85561806449368","144.96421332809595","-37.855","144.95499999999998","-37.86","144.964375"
"Average Age","36.059523809","-37.85773073805078","144.96917535627813","-37.855","144.964375","-37.86","144.97375"
"Average Age","32.345454545","-37.858167253768485","144.98019758610258","-37.855","144.97375","-37.86","144.983125"
"Average Age","31.153284671","-37.8569915911694","144.98759429398","-37.855","144.983125","-37.86","144.9925"
"Average Age","33.304123711","-37.858304946018094","144.99832132217517","-37.855","144.9925","-37.86","145.001875"
"Average Age","38.425925925","-37.85852210193586","145.00630783464948","-37.855","145.001875","-37.86","145.01125000000002"
"Average Age","41.466666666","-37.85679316373905","145.01904661910783","-37.855","145.01125","-37.86","145.020625"
"Average Age","34.617977528","-37.85686177543744","145.0262921873958","-37.855","145.020625","-37.86","145.03"
"Average Age","19.461538461","-37.85205078468763","144.88677377643924","-37.85","144.88","-37.855000000000004","144.889375"
"Average Age","38.636363636","-37.852399044504985","144.8926826471583","-37.85","144.889375","-37.855000000000004","144.89875"
"Average Age","38.500000000","-37.85080865472896","144.95455760015898","-37.85","144.945625","-37.855000000000004","144.955"
"Average Age","37.275000000","-37.85285909108481","144.9595865346698","-37.85","144.95499999999998","-37.855000000000004","144.964375"
"Average Age","41.240000000","-37.85261146834255","144.96794220388102","-37.85","144.964375","-37.855000000000004","144.97375"
"Average Age","32.891129032","-37.85186560949792","144.98026434488898","-37.85","144.97375","-37.855000000000004","144.983125"
"Average Age","33.397590361","-37.85179504639777","144.98716325673954","-37.85","144.983125","-37.855000000000004","144.9925"
"Average Age","30.802419354","-37.85244795823795","144.9948940908545","-37.85","144.9925","-37.855000000000004","145.001875"
"Average Age","33.576271186","-37.85311745418","145.00398671933547","-37.85","145.001875","-37.855000000000004","145.01125000000002"
"Average Age","38.080000000","-37.853100307532806","145.01457857150643","-37.85","145.01125","-37.855000000000004","145.020625"
