"point_name","point_value","acc_lat","acc_long","grid_fromlat","grid_fromlong","grid_tolat","grid_tolong"
"Average Age","42.935483870","-37.824363038318964","144.95653295600437","-37.823750000000004","144.9545","-37.825","144.95675"
"Average Age","28.756756756","-37.82458981330144","144.9581506081048","-37.823750000000004","144.95675","-37.825","144.959"
"Average Age","25.800000000","-37.82407736501393","144.96010299580772","-37.823750000000004","144.959","-37.825","144.96125"
"Average Age","31.918918918","-37.82406741204503","144.9624377252433","-37.823750000000004","144.96124999999998","-37.825","144.96349999999998"
"Average Age","35.809523809","-37.82471120446508","144.96373659493608","-37.823750000000004","144.96349999999998","-37.825","144.96574999999999"
"Average Age","29.000000000","-37.82387823631276","144.96729013502454","-37.823750000000004","144.96574999999999","-37.825","144.968"
"Average Age","29.800000000","-37.824434644455295","144.970704002155","-37.823750000000004","144.97025","-37.825","144.9725"
"Average Age","37.357142857","-37.82447267179375","144.97372327290827","-37.823750000000004","144.9725","-37.825","144.97475"
"Average Age","38.529411764","-37.824055605218234","144.97593859471317","-37.823750000000004","144.97475","-37.825","144.977"
"Average Age","37.166666666","-37.824421857304586","144.97798996105837","-37.823750000000004","144.97699999999998","-37.825","144.97924999999998"
"Average Age","37.857142857","-37.82377300630016","144.9810232047828","-37.823750000000004","144.97924999999998","-37.825","144.98149999999998"
"Average Age","37.800000000","-37.824091038909465","144.98285793062374","-37.823750000000004","144.98149999999998","-37.825","144.98375"
"Average Age","40.714285714","-37.82422091040947","144.98455291225227","-37.823750000000004","144.98375","-37.825","144.986"
"Average Age","38.388888888","-37.822685978191224","144.95031464721805","-37.822500000000005","144.95","-37.823750000000004","144.95225"
"Average Age","27.090909090","-37.82316916184222","144.95826709945334","-37.822500000000005","144.95675","-37.823750000000004","144.959"
"Average Age","25.800000000","-37.82333100013724","144.9606978648573","-37.822500000000005","144.959","-37.823750000000004","144.96125"
"Average Age","34.717171717","-37.82291690503056","144.964294847832","-37.822500000000005","144.96349999999998","-37.823750000000004","144.96574999999999"
"Average Age","27.615384615","-37.8232342054751","144.96677442600316","-37.822500000000005","144.96574999999999","-37.823750000000004","144.968"
"Average Age","34.385542168","-37.823336986098404","144.97006572999854","-37.822500000000005","144.968","-37.823750000000004","144.97025"
"Average Age","37.607142857","-37.823330669682505","144.97070810703283","-37.822500000000005","144.97025","-37.823750000000004","144.9725"
"Average Age","34.846153846","-37.823238687716795","144.97609676580998","-37.822500000000005","144.97475","-37.823750000000004","144.977"
"Average Age","30.887323943","-37.823432092509606","144.97843817068804","-37.822500000000005","144.97699999999998","-37.823750000000004","144.97924999999998"
"Average Age","38.789473684","-37.82364861542015","144.9800428331199","-37.822500000000005","144.97924999999998","-37.823750000000004","144.98149999999998"
"Average Age","32.328767123","-37.821991826544085","144.95206862634726","-37.82125","144.95","-37.8225","144.95225"
"Average Age","42.142857142","-37.822028109794466","144.9535113179907","-37.82125","144.95225","-37.8225","144.9545"
"Average Age","24.923076923","-37.82186503548217","144.9553632765677","-37.82125","144.9545","-37.8225","144.95675"
"Average Age","33.200000000","-37.82198297747699","144.95807308557283","-37.82125","144.95675","-37.8225","144.959"
"Average Age","40.714285714","-37.82243509835151","144.96114374699079","-37.82125","144.959","-37.8225","144.96125"
"Average Age","36.666666666","-37.821681269715995","144.96226029929196","-37.82125","144.96124999999998","-37.8225","144.96349999999998"
"Average Age","30.862068965","-37.821784710849464","144.9663823675124","-37.82125","144.96574999999999","-37.8225","144.968"
"Average Age","30.357142857","-37.821684819508285","144.96936434009027","-37.82125","144.968","-37.8225","144.97025"
"Average Age","34.250000000","-37.82139260721305","144.9721396283037","-37.82125","144.97025","-37.8225","144.9725"
"Average Age","30.187500000","-37.8219924239114","144.9735919491804","-37.82125","144.9725","-37.8225","144.97475"
"Average Age","40.384615384","-37.82218265776545","144.97527265888252","-37.82125","144.97475","-37.8225","144.977"
"Average Age","54.000000000","-37.82233122247307","144.97711522331122","-37.82125","144.97699999999998","-37.8225","144.97924999999998"
"Average Age","48.500000000","-37.82162558544924","144.9835440205278","-37.82125","144.98149999999998","-37.8225","144.98375"
"Average Age","44.200000000","-37.82192798676839","144.9841561478715","-37.82125","144.98375","-37.8225","144.986"
"Average Age","36.218181818","-37.82083898353975","144.9550306501246","-37.82","144.9545","-37.82125","144.95675"
"Average Age","28.200000000","-37.82053309882587","144.95761074681351","-37.82","144.95675","-37.82125","144.959"
"Average Age","38.600000000","-37.82007396880692","144.95973220590088","-37.82","144.959","-37.82125","144.96125"
"Average Age","34.200000000","-37.82055949444523","144.96138803760806","-37.82","144.96124999999998","-37.82125","144.96349999999998"
"Average Age","64.000000000","-37.821151273453424","144.96547448400938","-37.82","144.96349999999998","-37.82125","144.96574999999999"
"Average Age","44.375000000","-37.82108553532985","144.96781025240557","-37.82","144.96574999999999","-37.82125","144.968"
"Average Age","36.057142857","-37.82069558262981","144.96904176262177","-37.82","144.968","-37.82125","144.97025"
"Average Age","0","-37.82096510263806","144.9703043666412","-37.82","144.97025","-37.82125","144.9725"
"Average Age","39.500000000","-37.82029562266291","144.9734171020025","-37.82","144.9725","-37.82125","144.97475"
"Average Age","53.000000000","-37.82110586737943","144.98261710999626","-37.82","144.98149999999998","-37.82125","144.98375"
"Average Age","24.500000000","-37.81994088697499","144.95157884531466","-37.81875","144.95","-37.82","144.95225"
"Average Age","34.044444444","-37.81922754171464","144.9541245377383","-37.81875","144.95225","-37.82","144.9545"
"Average Age","27.285714285","-37.81905058189911","144.95528507790064","-37.81875","144.9545","-37.82","144.95675"
"Average Age","35.282608695","-37.81948763093668","144.95719162464746","-37.81875","144.95675","-37.82","144.959"
"Average Age","30.675000000","-37.81950499292332","144.96022789575815","-37.81875","144.959","-37.82","144.96125"
"Average Age","31.300000000","-37.81907200050677","144.96250499633663","-37.81875","144.96124999999998","-37.82","144.96349999999998"
"Average Age","43.000000000","-37.81875456954551","144.9679826509267","-37.81875","144.96574999999999","-37.82","144.968"
"Average Age","32.274193548","-37.8192399720776","144.96820513802808","-37.81875","144.968","-37.82","144.97025"
"Average Age","24.000000000","-37.81886771135223","144.9788518337865","-37.81875","144.97699999999998","-37.82","144.97924999999998"
"Average Age","40.888888888","-37.818081109701986","144.95036077246536","-37.8175","144.95","-37.81875","144.95225"
"Average Age","32.000000000","-37.81814495903598","144.95366959666586","-37.8175","144.95225","-37.81875","144.9545"
"Average Age","32.835294117","-37.81826549579566","144.9564638343269","-37.8175","144.9545","-37.81875","144.95675"
"Average Age","31.714285714","-37.81832011263806","144.95724480868856","-37.8175","144.95675","-37.81875","144.959"
"Average Age","31.013157894","-37.81793088311276","144.9594991640495","-37.8175","144.959","-37.81875","144.96125"
"Average Age","36.826086956","-37.817959909209065","144.9621804386236","-37.8175","144.96124999999998","-37.81875","144.96349999999998"
"Average Age","28.405797101","-37.81819715496669","144.96488617549568","-37.8175","144.96349999999998","-37.81875","144.96574999999999"
"Average Age","29.750000000","-37.81781991402921","144.96728610688308","-37.8175","144.96574999999999","-37.81875","144.968"
"Average Age","42.000000000","-37.81761303610507","144.97394004771658","-37.8175","144.9725","-37.81875","144.97475"
"Average Age","48.333333333","-37.81849235189681","144.97550842644992","-37.8175","144.97475","-37.81875","144.977"
"Average Age","15.000000000","-37.81838467529748","144.9786832006959","-37.8175","144.97699999999998","-37.81875","144.97924999999998"
"Average Age","0","-37.81866392647346","144.98103570423933","-37.8175","144.97924999999998","-37.81875","144.98149999999998"
"Average Age","34.875000000","-37.81696664126936","144.9532238512964","-37.816250000000004","144.95225","-37.8175","144.9545"
"Average Age","34.677419354","-37.81655614937158","144.95569716184664","-37.816250000000004","144.9545","-37.8175","144.95675"
"Average Age","26.090909090","-37.81693015260059","144.9584749380513","-37.816250000000004","144.95675","-37.8175","144.959"
"Average Age","38.142857142","-37.81710769712872","144.9604899832542","-37.816250000000004","144.959","-37.8175","144.96125"
"Average Age","25.888888888","-37.81703891485412","144.96189345961247","-37.816250000000004","144.96124999999998","-37.8175","144.96349999999998"
"Average Age","29.034482758","-37.81662607340963","144.96420788182832","-37.816250000000004","144.96349999999998","-37.8175","144.96574999999999"
"Average Age","25.181818181","-37.81693042619597","144.96710569512803","-37.816250000000004","144.96574999999999","-37.8175","144.968"
"Average Age","33.113636363","-37.81701036762136","144.96918700272872","-37.816250000000004","144.968","-37.8175","144.97025"
"Average Age","32.857142857","-37.816569832795196","144.97096101039807","-37.816250000000004","144.97025","-37.8175","144.9725"
"Average Age","33.000000000","-37.81631371398881","144.97673128551165","-37.816250000000004","144.97475","-37.8175","144.977"
"Average Age","32.920000000","-37.816815665078046","144.9789540672481","-37.816250000000004","144.97699999999998","-37.8175","144.97924999999998"
"Average Age","33.333333333","-37.816326793672395","144.98347007411286","-37.816250000000004","144.98149999999998","-37.8175","144.98375"
"Average Age","35.375000000","-37.81649802561159","144.985014491756","-37.816250000000004","144.98375","-37.8175","144.986"
"Average Age","34.666666666","-37.81502055106941","144.95223338162106","-37.815","144.95","-37.81625","144.95225"
"Average Age","32.190476190","-37.81533310887135","144.9524204625797","-37.815","144.95225","-37.81625","144.9545"
"Average Age","36.066666666","-37.81552622914936","144.95542399654093","-37.815","144.9545","-37.81625","144.95675"
"Average Age","35.900000000","-37.815810158798584","144.958124066829","-37.815","144.95675","-37.81625","144.959"
"Average Age","26.734693877","-37.815552375203616","144.96059374533218","-37.815","144.959","-37.81625","144.96125"
"Average Age","31.800000000","-37.81532630016918","144.96334243622562","-37.815","144.96124999999998","-37.81625","144.96349999999998"
