"point_name","point_value","acc_lat","acc_long","grid_fromlat","grid_fromlong","grid_tolat","grid_tolong"
"Average Age","33.454545454","-38.702396835277085","143.19170346879977","-38.6875","142.6875","-39","143.25"
"Average Age","33.888000000","-38.73915324466457","143.53159977781658","-38.6875","143.25","-39","143.8125"
"Average Age","33.555555555","-38.69194968137808","143.82901720955206","-38.6875","143.8125","-39","144.375"
"Average Age","29.024390243","-38.734196747954485","145.91117788375246","-38.6875","145.5","-39","146.0625"
"Average Age","31.467289719","-38.78654502873125","146.16903278544103","-38.6875","146.0625","-39","146.625"
"Average Age","20.500000000","-38.38835335312347","141.55288617690488","-38.375","141","-38.6875","141.5625"
"Average Age","34.538461538","-38.38306567880064","141.6044379622329","-38.375","141.5625","-38.6875","142.125"
"Average Age","35.517766497","-38.384025235398845","142.48619124990097","-38.375","142.125","-38.6875","142.6875"
"Average Age","31.749311294","-38.505019724361624","142.99626154657832","-38.375","142.6875","-38.6875","143.25"
"Average Age","34.140575079","-38.54085119095796","143.56739193845397","-38.375","143.25","-38.6875","143.8125"
"Average Age","33.899082568","-38.49208255471483","144.01131478508447","-38.375","143.8125","-38.6875","144.375"
"Average Age","34.954430379","-38.397790134989876","144.8608492259179","-38.375","144.375","-38.6875","144.9375"
"Average Age","36.857142857","-38.46535984955529","145.2405281570185","-38.375","144.9375","-38.6875","145.5"
"Average Age","35.098107918","-38.51962225313124","145.76391615501552","-38.375","145.5","-38.6875","146.0625"
"Average Age","35.313769751","-38.53039644709481","146.25708762215316","-38.375","146.0625","-38.6875","146.625"
"Average Age","39.706250000","-38.518160865308914","146.75127249330347","-38.375","146.625","-38.6875","147.1875"
"Average Age","23.000000000","-38.37674583143212","147.190711992398","-38.375","147.1875","-38.6875","147.75"
"Average Age","34.557377049","-38.23663550524036","141.42555364486643","-38.0625","141","-38.375","141.5625"
"Average Age","32.982421875","-38.28435964683762","141.65246423744975","-38.0625","141.5625","-38.375","142.125"
"Average Age","34.746418338","-38.31952850492935","142.43639804607176","-38.0625","142.125","-38.375","142.6875"
"Average Age","37.460199004","-38.23410142868059","142.99210766302798","-38.0625","142.6875","-38.375","143.25"
"Average Age","33.724561403","-38.31780807332486","143.59423661012713","-38.0625","143.25","-38.375","143.8125"
"Average Age","35.241206030","-38.16194213726994","144.32129260299791","-38.0625","143.8125","-38.375","144.375"
"Average Age","37.039084842","-38.25482550399178","144.63122010162814","-38.0625","144.375","-38.375","144.9375"
"Average Age","34.373001529","-38.16451970479266","145.18891225055913","-38.0625","144.9375","-38.375","145.5"
"Average Age","33.377137713","-38.17547877872909","145.78768714132423","-38.0625","145.5","-38.375","146.0625"
"Average Age","34.985658409","-38.21409784295925","146.38568321340725","-38.0625","146.0625","-38.375","146.625"
"Average Age","34.025562372","-38.14868490010486","146.96442009966307","-38.0625","146.625","-38.375","147.1875"
"Average Age","30.208333333","-38.2052905373141","147.33719402295515","-38.0625","147.1875","-38.375","147.75"
"Average Age","39.415384615","-37.93257694732109","141.25587339770098","-37.75","141","-38.0625","141.5625"
"Average Age","33.054054054","-37.86699721464874","141.93000867370597","-37.75","141.5625","-38.0625","142.125"
"Average Age","38.666666666","-37.89617412986236","142.35991150845334","-37.75","142.125","-38.0625","142.6875"
"Average Age","37.380000000","-37.969252714625675","142.99534676246705","-37.75","142.6875","-38.0625","143.25"
"Average Age","34.350000000","-37.912059871779746","143.5767905888358","-37.75","143.25","-38.0625","143.8125"
"Average Age","35.933486238","-37.94666272080787","144.18884508295488","-37.75","143.8125","-38.0625","144.375"
"Average Age","33.617600000","-37.819379707174036","144.81011132652245","-37.75","144.375","-38.0625","144.9375"
"Average Age","34.967319941","-37.870238457452544","145.10608844687516","-37.75","144.9375","-38.0625","145.5"
"Average Age","33.324786324","-37.89093102282095","145.6936913959403","-37.75","145.5","-38.0625","146.0625"
"Average Age","32.566343042","-37.9398064584027","146.311756307833","-37.75","146.0625","-38.0625","146.625"
"Average Age","35.862433862","-37.94294419066059","146.92315380468727","-37.75","146.625","-38.0625","147.1875"
"Average Age","36.995012468","-37.84560150531212","147.59631317054055","-37.75","147.1875","-38.0625","147.75"
"Average Age","35.695767195","-37.8483033770788","147.96840246372744","-37.75","147.75","-38.0625","148.3125"
"Average Age","34.066666666","-37.76723812033422","148.4848391177346","-37.75","148.3125","-38.0625","148.875"
"Average Age","19.500000000","-37.77243815657069","149.3131290945157","-37.75","148.875","-38.0625","149.4375"
"Average Age","36.319587628","-37.585006088250346","141.35381229003028","-37.4375","141","-37.75","141.5625"
"Average Age","36.548076923","-37.694533653327944","141.96789432925533","-37.4375","141.5625","-37.75","142.125"
"Average Age","34.715909090","-37.62044142775264","142.4217040241527","-37.4375","142.125","-37.75","142.6875"
"Average Age","41.063829787","-37.65113538878175","142.93064492705136","-37.4375","142.6875","-37.75","143.25"
"Average Age","35.247176913","-37.57667573771766","143.68741890125537","-37.4375","143.25","-37.75","143.8125"
"Average Age","33.665448290","-37.56740322802534","143.90036487790135","-37.4375","143.8125","-37.75","144.375"
"Average Age","32.444966092","-37.68220430641857","144.79723753046548","-37.4375","144.375","-37.75","144.9375"
"Average Age","34.204425446","-37.684401047022924","145.05910638292076","-37.4375","144.9375","-37.75","145.5"
"Average Age","34.798578199","-37.61717851065806","145.66920021567242","-37.4375","145.5","-37.75","146.0625"
"Average Age","35.795081967","-37.57658753138827","146.28689318686594","-37.4375","146.0625","-37.75","146.625"
"Average Age","33.518518518","-37.629946447092806","146.92791013538402","-37.4375","146.625","-37.75","147.1875"
"Average Age","32.647887323","-37.618493743675174","147.4422844903544","-37.4375","147.1875","-37.75","147.75"
"Average Age","37.117021276","-37.620142784746726","147.94746138901863","-37.4375","147.75","-37.75","148.3125"
"Average Age","40.109677419","-37.66941922472506","148.56546418008574","-37.4375","148.3125","-37.75","148.875"
"Average Age","44.187500000","-37.57237649472226","149.08700505371542","-37.4375","148.875","-37.75","149.4375"
"Average Age","42.000000000","-37.501565627114836","149.6196739738119","-37.4375","149.4375","-37.75","150"
"Average Age","37.578947368","-37.27027400564722","141.30535389491945","-37.125","141","-37.4375","141.5625"
"Average Age","30.552631578","-37.26525529790428","141.81630645108243","-37.125","141.5625","-37.4375","142.125"
"Average Age","33.688000000","-37.19317524164612","142.49319898867117","-37.125","142.125","-37.4375","142.6875"
"Average Age","35.813664596","-37.2782008633339","142.9643144365916","-37.125","142.6875","-37.4375","143.25"
"Average Age","37.604774535","-37.304547396460876","143.58929582765947","-37.125","143.25","-37.4375","143.8125"
"Average Age","35.663461538","-37.31751857899307","144.13311144206992","-37.125","143.8125","-37.4375","144.375"
"Average Age","34.645359019","-37.31602879914775","144.60581051806946","-37.125","144.375","-37.4375","144.9375"
"Average Age","33.276440554","-37.30322414186894","145.11484479153418","-37.125","144.9375","-37.4375","145.5"
"Average Age","36.868421052","-37.26643477267417","145.77486917618717","-37.125","145.5","-37.4375","146.0625"
"Average Age","35.174418604","-37.24745408670271","146.24191519221975","-37.125","146.0625","-37.4375","146.625"
"Average Age","32.586206896","-37.31520325635292","147.03954109773696","-37.125","146.625","-37.4375","147.1875"
"Average Age","35.183333333","-37.27601178011191","147.56556860077885","-37.125","147.1875","-37.4375","147.75"
"Average Age","43.333333333","-37.35726237431964","147.92416562916662","-37.125","147.75","-37.4375","148.3125"
"Average Age","47.551724137","-37.28232348066193","148.671923234449","-37.125","148.3125","-37.4375","148.875"
"Average Age","41.325000000","-37.334164050873014","149.16346506054708","-37.125","148.875","-37.4375","149.4375"
"Average Age","34.181818181","-37.41904512130595","149.65499727625092","-37.125","149.4375","-37.4375","150"
"Average Age","35.212765957","-36.990256956965275","141.19459232580775","-36.8125","141","-37.125","141.5625"
"Average Age","37.281250000","-36.9166126386785","141.78001199027938","-36.8125","141.5625","-37.125","142.125"
"Average Age","32.884615384","-36.96861880462211","142.44235725499763","-36.8125","142.125","-37.125","142.6875"
"Average Age","36.568421052","-37.04406225443796","142.8073247978581","-36.8125","142.6875","-37.125","143.25"
"Average Age","36.689156626","-37.023392941808524","143.67540430291533","-36.8125","143.25","-37.125","143.8125"
"Average Age","37.917431192","-36.98478683505277","144.1873024096704","-36.8125","143.8125","-37.125","144.375"
"Average Age","34.028985507","-36.942957022512175","144.65635802392876","-36.8125","144.375","-37.125","144.9375"
"Average Age","33.750367107","-36.988290200598854","145.17199054851167","-36.8125","144.9375","-37.125","145.5"
"Average Age","37.286644951","-36.960196976410295","145.79773652916248","-36.8125","145.5","-37.125","146.0625"
"Average Age","35.040485829","-36.995361713493665","146.23717531865378","-36.8125","146.0625","-37.125","146.625"
"Average Age","39.130136986","-36.960373864473645","147.00502605244407","-36.8125","146.625","-37.125","147.1875"
"Average Age","38.548192771","-36.98689669535355","147.44814111299243","-36.8125","147.1875","-37.125","147.75"
"Average Age","40.416666666","-36.90340139622649","147.94690707265477","-36.8125","147.75","-37.125","148.3125"
"Average Age","47.187500000","-36.97897550939686","148.48529487822205","-36.8125","148.3125","-37.125","148.875"
"Average Age","34.312500000","-36.74303641413635","141.34360538931594","-36.5","141","-36.8125","141.5625"
"Average Age","38.154761904","-36.65870152609746","141.94908615452516","-36.5","141.5625","-36.8125","142.125"
