"point_name","point_value","acc_lat","acc_long","grid_fromlat","grid_fromlong","grid_tolat","grid_tolong"
"Fatalities","1","-37.856888954018316","144.98248629718094","-37.85625","144.98078125","-37.8575","144.983125"
"Fatalities","1","-37.85532931117664","145.01821753908106","-37.855","145.0159375","-37.856249999999996","145.01828125"
"Fatalities","1","-37.85332143362471","144.97915364717147","-37.8525","144.9784375","-37.85375","144.98078125"
"Fatalities","1","-37.851766992666164","144.98116445957515","-37.85125","144.98078125","-37.8525","144.983125"
"Fatalities","1","-37.848825284350994","145.00771658312138","-37.84875","145.0065625","-37.85","145.00890625"
"Fatalities","1","-37.84785840397058","144.9797407840522","-37.8475","144.9784375","-37.848749999999995","144.98078125"
"Fatalities","1","-37.84786582054102","144.98468549691995","-37.8475","144.983125","-37.848749999999995","144.98546875"
"Fatalities","1","-37.84239328654628","144.99152283267824","-37.84125","144.99015625","-37.8425","144.9925"
"Fatalities","1","-37.838202020213146","144.98442803050742","-37.8375","144.983125","-37.83875","144.98546875"
"Fatalities","1","-37.838458873995975","144.98653375741483","-37.8375","144.98546875","-37.83875","144.9878125"
"Fatalities","1","-37.837287843689","145.02740292869913","-37.83625","145.0253125","-37.8375","145.02765625"
"Fatalities","1","-37.83526813594798","144.97109802548675","-37.835","144.9690625","-37.83625","144.97140625"
"Fatalities","1","-37.83327497156123","144.88187293465523","-37.8325","144.88","-37.83375","144.88234375"
"Fatalities","2","-37.831016545301495","144.9543156196739","-37.83","144.95265625","-37.83125","144.95499999999998"
"Fatalities","1","-37.83050773423089","145.01184889835173","-37.83","145.01125","-37.83125","145.01359374999998"
"Fatalities","1","-37.82695904639012","144.96367527659848","-37.82625","144.96203125","-37.8275","144.964375"
"Fatalities","1","-37.825872235244184","144.94031658475137","-37.825","144.93859375","-37.82625","144.9409375"
"Fatalities","1","-37.82570203355561","144.96905461563023","-37.825","144.96671875","-37.82625","144.9690625"
"Fatalities","1","-37.82411395942559","144.95641736082322","-37.82375","144.95499999999998","-37.824999999999996","144.95734374999998"
"Fatalities","1","-37.82404714575244","144.9764208144362","-37.82375","144.97609375","-37.824999999999996","144.97843749999998"
"Fatalities","1","-37.822838950453686","144.96396113841465","-37.8225","144.96203125","-37.82375","144.964375"
"Fatalities","1","-37.823295230737855","144.97610881823883","-37.8225","144.97609375","-37.82375","144.97843749999998"
"Fatalities","1","-37.821346924450665","144.96723122802894","-37.82125","144.96671875","-37.8225","144.9690625"
"Fatalities","1","-37.82050161571305","144.95756752840916","-37.82","144.95734375","-37.82125","144.9596875"
"Fatalities","1","-37.819751255428","144.96002643015441","-37.81875","144.9596875","-37.82","144.96203125"
"Fatalities","1","-37.81830904356562","144.96497915098703","-37.8175","144.964375","-37.81875","144.96671874999998"
"Fatalities","1","-37.81872195015609","144.99917924471666","-37.8175","144.9971875","-37.81875","144.99953125"
"Fatalities","1","-37.8166809740296","144.88965224141918","-37.816250000000004","144.889375","-37.8175","144.89171875"
"Fatalities","1","-37.81546872180117","144.99037592835882","-37.815","144.99015625","-37.81625","144.9925"
"Fatalities","1","-37.81385008866364","144.95733216877085","-37.81375","144.95499999999998","-37.815","144.95734374999998"
"Fatalities","1","-37.81345584539606","144.95090986378375","-37.8125","144.9503125","-37.81375","144.95265625"
"Fatalities","1","-37.81366847321186","144.9656426473694","-37.8125","144.964375","-37.81375","144.96671874999998"
"Fatalities","1","-37.81338366221822","145.00015802443139","-37.8125","144.99953125","-37.81375","145.00187499999998"
"Fatalities","1","-37.81195622041605","144.95622941520358","-37.81125","144.95499999999998","-37.8125","144.95734374999998"
"Fatalities","1","-37.81212175291267","144.97473012068232","-37.81125","144.97375","-37.8125","144.97609375"
"Fatalities","1","-37.8119596000251","145.00041910696928","-37.81125","144.99953125","-37.8125","145.00187499999998"
"Fatalities","1","-37.810454403436516","144.96136796191908","-37.81","144.9596875","-37.81125","144.96203125"
"Fatalities","1","-37.81034828311783","144.99717906594933","-37.81","144.99484375","-37.81125","144.9971875"
"Fatalities","1","-37.809421310814855","144.93202596430416","-37.80875","144.93156249999998","-37.81","144.93390624999998"
"Fatalities","1","-37.809229700657134","144.95289746934284","-37.80875","144.95265625","-37.81","144.95499999999998"
"Fatalities","1","-37.80900513755609","144.95801847728845","-37.80875","144.95734375","-37.81","144.9596875"
"Fatalities","1","-37.809918778644324","144.9882602134207","-37.80875","144.9878125","-37.81","144.99015624999998"
"Fatalities","1","-37.80821809202008","144.97285353594742","-37.8075","144.97140625","-37.808749999999996","144.97375"
"Fatalities","1","-37.80722875479042","144.9469771952846","-37.80625","144.945625","-37.8075","144.94796875"
"Fatalities","1","-37.80587620249869","144.94087299291928","-37.805","144.93859375","-37.80625","144.9409375"
"Fatalities","1","-37.80601626328099","144.95599684512342","-37.805","144.95499999999998","-37.80625","144.95734374999998"
"Fatalities","1","-37.80503272827003","144.96622078337575","-37.805","144.964375","-37.80625","144.96671874999998"
"Fatalities","1","-37.804162018248746","145.02022760088036","-37.80375","145.01828125","-37.805","145.020625"
"Fatalities","1","-37.803703343644166","144.89890115451104","-37.8025","144.89875","-37.80375","144.90109375"
"Fatalities","1","-37.802238963420464","145.0297667066031","-37.80125","145.02765625","-37.8025","145.03"
"Fatalities","1","-37.80069849638997","144.9064804299141","-37.8","144.90578125","-37.801249999999996","144.90812499999998"
"Fatalities","1","-37.8001436980293","144.99296928203952","-37.8","144.9925","-37.801249999999996","144.99484375"
"Fatalities","1","-37.79905857749367","144.89236687078935","-37.79875","144.89171875","-37.8","144.8940625"
"Fatalities","1","-37.79978289943163","144.93791306481148","-37.79875","144.93625","-37.8","144.93859375"
"Fatalities","1","-37.79984881517049","144.99301722655613","-37.79875","144.9925","-37.8","144.99484375"
"Fatalities","1","-37.79765175858884","144.96750377386508","-37.7975","144.96671875","-37.79875","144.9690625"
"Fatalities","1","-37.79728008441868","144.9674094701839","-37.79625","144.96671875","-37.7975","144.9690625"
"Fatalities","1","-37.79523051846386","144.90622459938112","-37.795","144.90578125","-37.79625","144.90812499999998"
"Fatalities","1","-37.79612748778539","144.9677655850365","-37.795","144.96671875","-37.79625","144.9690625"
"Fatalities","1","-37.793978427002706","144.8982781563809","-37.79375","144.89640624999998","-37.795","144.89874999999998"
"Fatalities","1","-37.79304514928462","144.92653747224662","-37.792500000000004","144.92453125","-37.79375","144.926875"
"Fatalities","1","-37.79088132083043","144.88839047515884","-37.79","144.88703125","-37.79125","144.889375"
"Fatalities","1","-37.790433758418665","144.89641792646165","-37.79","144.89640624999998","-37.79125","144.89874999999998"
"Fatalities","1","-37.79081293878623","144.97977435582723","-37.79","144.9784375","-37.79125","144.98078125"
"Fatalities","1","-37.7903489444406","144.99470463518546","-37.79","144.9925","-37.79125","144.99484375"
"Fatalities","1","-37.790877586275805","145.0276512563278","-37.79","145.0253125","-37.79125","145.02765625"
"Fatalities","1","-37.787747302857284","144.8806642163709","-37.7875","144.88","-37.78875","144.88234375"
"Fatalities","1","-37.78796654973091","144.94051570540222","-37.7875","144.93859375","-37.78875","144.9409375"
"Fatalities","1","-37.78855666128487","144.97932710281046","-37.7875","144.9784375","-37.78875","144.98078125"
"Fatalities","1","-37.78833777407138","144.99245930689307","-37.7875","144.99015625","-37.78875","144.9925"
"Fatalities","1","-37.78687028636157","144.99634987687065","-37.78625","144.99484375","-37.7875","144.9971875"
"Fatalities","2","-37.786133366451544","144.9391319470867","-37.785000000000004","144.93859375","-37.78625","144.9409375"
"Fatalities","1","-37.786031238978005","144.9592652819827","-37.785000000000004","144.95734375","-37.78625","144.9596875"
"Fatalities","1","-37.78580362965226","144.98182063825232","-37.785000000000004","144.98078125","-37.78625","144.983125"
"Fatalities","1","-37.782782601449966","144.97766667467403","-37.7825","144.97609375","-37.78375","144.97843749999998"
"Fatalities","1","-37.781956455399786","144.97014065422573","-37.78125","144.9690625","-37.7825","144.97140625"
"Fatalities","1","-37.78163923883849","145.00056324242175","-37.78125","144.99953125","-37.7825","145.00187499999998"
"Fatalities","1","-37.78043685669971","144.9928264326296","-37.78","144.9925","-37.78125","144.99484375"
