"point_name","point_value","acc_lat","acc_long","grid_fromlat","grid_fromlong","grid_tolat","grid_tolong"
"BANYULE","1647","-37.732130784167495","145.07562265690203","-37.73203125","145.075","-37.734765625","145.07968749999998"
"BAYSIDE","1504","-37.93197843417946","145.0134404636477","-37.931640625","145.009375","-37.934375","145.0140625"
"BOROONDARA","2892","-37.82053178789693","145.06013344512633","-37.81953125","145.05625","-37.822265625","145.0609375"
"BRIMBANK","3163","-37.754745662078605","144.80746803393322","-37.75390625","144.803125","-37.756640625","144.80781249999998"
"DANDENONG","3600","-37.9796768201202","145.1900444370006","-37.978125","145.1875","-37.980859375","145.1921875"
"DAREBIN","2571","-37.74147879760858","145.00912407730792","-37.740234375","145.0046875","-37.74296875","145.00937499999998"
"GLEN EIRA","2221","-37.89679402818102","145.0395842412472","-37.89609375","145.0375","-37.898828125","145.04218749999998"
"HOBSONS BAY","1321","-37.84808859109316","144.83357290371495","-37.846875","144.8312499999999","-37.849609375","144.83593749999997"
"KINGSTON","2597","-37.98673969876487","145.0938735182459","-37.986328125","145.09375","-37.9890625","145.0984375"
"KNOX","2380","-37.882151904359915","145.25836986721538","-37.8796875","145.2578125","-37.882421875000006","145.2625"
"MANNINGHAM","1357","-37.77451285424986","145.15305248891391","-37.773046875","145.15","-37.77578125","145.1546875"
"MARIBYRNONG","1410","-37.79696343952193","144.88341239031104","-37.794921875","144.8828125","-37.79765625","144.8875"
"MAROONDAH","1726","-37.80970239373835","145.25957308021918","-37.80859375","145.2578125","-37.811328125","145.2625"
"MELBOURNE","6253","-37.812636779204446","144.96015942581576","-37.8113281249999","144.9578125","-37.8140625","144.96249999999998"
"MONASH","2962","-37.89670238392402","145.1367800593297","-37.89609375","145.1359375","-37.898828125","145.140625"
"MOONEE VALLEY","1643","-37.75318577949715","144.90554316400613","-37.751171875","144.9015624999999","-37.75390625","144.90624999999997"
"MORELAND","3017","-37.7409403898932","144.95272477814652","-37.740234375","144.9484375","-37.74296875","144.953125"
"NILLUMBIK","763","-37.66685743437097","145.1825369968651","-37.66640625","145.178125","-37.669140625000004","145.18281249999998"
"PORT PHILLIP","2224","-37.85285529872358","144.97124367338765","-37.85234375","144.9671875","-37.855078125000006","144.97187499999998"
"STONNINGTON","2291","-37.85522099268743","145.024716071335","-37.855078125","145.0234375","-37.8578125","145.028125"
"WHITEHORSE","2183","-37.82781992260051","145.15072765246845","-37.827734375","145.15","-37.83046875","145.1546875"
"YARRA","2432","-37.80475800644144","144.99139499939486","-37.803125","144.990625","-37.805859375000004","144.99531249999998"
