"point_name","point_value","acc_lat","acc_long","grid_fromlat","grid_fromlong","grid_tolat","grid_tolong"
"(FALLS CREEK)","9","-36.86302980219528","147.2773343596298","-36.8515625","147.2578125","-36.87109375","147.29296875"
"(FRENCH ISLAND)","1","-38.3896857027807","145.34912538499438","-38.375","145.32421875","-38.39453125","145.359375"
"(LAKE MOUNTAIN)","8","-37.51268397032527","145.86543342209396","-37.49609375","145.8515625","-37.515625","145.88671875"
"(MOUNT BAW BAW)","6","-37.844636523872026","146.250942134055","-37.828125","146.23828125","-37.84765625","146.2734375"
"(MOUNT BULLER)","13","-37.13675956321247","146.44839196795948","-37.125","146.4140625","-37.14453125","146.44921875"
"(MOUNT HOTHAM)","29","-36.98762159040454","147.1228617648123","-36.96875","147.1171875","-36.98828125","147.15234375"
"(MOUNT STIRLING)","1","-37.13948038697457","146.48239045153971","-37.125","146.44921875","-37.14453125","146.484375"
"ALPINE","402","-36.71896688683586","146.95013096384034","-36.71484375","146.94140625","-36.734375","146.9765625"
"ARARAT","210","-37.36530443621945","142.91709911397248","-37.359375","142.8984375","-37.37890625","142.93359375"
"BALLARAT","1824","-37.56005285231909","143.84364526405085","-37.5546875","143.8125","-37.57421875","143.84765625"
"BANYULE","1647","-37.732130784167495","145.07562265690203","-37.73046875","145.04296875","-37.75","145.078125"
"BASS COAST","578","-38.51346270560021","145.49547928067508","-38.51171875","145.46484375","-38.53125","145.5"
"BAW BAW","1223","-38.08287272672401","146.01433103240612","-38.08203125","145.9921875","-38.1015625","146.02734375"
"BAYSIDE","1504","-37.93197843417946","145.0134404636477","-37.92578125","145.0078125","-37.9453125","145.04296875"
"BENALLA","299","-36.57092545416946","145.99480242752037","-36.55859375","145.9921875","-36.578125","146.02734375"
"BENDIGO","1880","-36.76604733588083","144.30625605873112","-36.75390625","144.3046875","-36.7734375","144.33984375"
"BOROONDARA","2892","-37.82053178789693","145.06013344512633","-37.80859375","145.04296875","-37.828125","145.078125"
"BRIMBANK","3163","-37.754745662078605","144.80746803393322","-37.75","144.796875","-37.76953125","144.83203125"
"BULOKE","109","-35.99871386581648","143.06761406423132","-35.9921875","143.0390625","-36.01171875","143.07421875"
"CAMPASPE","662","-36.27376439601604","144.8119967859651","-36.265625","144.796875","-36.28515625","144.83203125"
"CARDINIA","1496","-38.051761457579616","145.50181628435732","-38.04296875","145.5","-38.0625","145.53515625"
