"point_name","point_value","acc_lat","acc_long","grid_fromlat","grid_fromlong","grid_tolat","grid_tolong"
"Severity","9","-37.99524134456849","145.0364497802078","-37.99453125","145.028125","-38","145.0375"
"Severity","2","-37.99462922965364","145.03913778301848","-37.99453125","145.0375","-38","145.046875"
"Severity","43","-37.99647921039648","145.07167373624418","-37.99453125","145.065625","-38","145.07500000000002"
"Severity","73","-37.99797505030303","145.08160794702331","-37.99453125","145.075","-38","145.084375"
"Severity","63","-37.9985496074443","145.09038440502587","-37.99453125","145.084375","-38","145.09375"
"Severity","14","-37.9997715090511","145.09479653278103","-37.99453125","145.09375","-38","145.103125"
"Severity","22","-37.996953562298565","145.1059994221813","-37.99453125","145.103125","-38","145.1125"
"Severity","5","-37.998991399313404","145.1177585620181","-37.99453125","145.1125","-38","145.12187500000002"
"Severity","4","-37.996362567219094","145.1436358846098","-37.99453125","145.140625","-38","145.15"
"Severity","3","-37.994789737019836","145.1525664496935","-37.99453125","145.15","-38","145.159375"
"Severity","7","-37.996874864493996","145.1624104430968","-37.99453125","145.159375","-38","145.16875000000002"
"Severity","62","-37.995811932193014","145.17534999041774","-37.99453125","145.16875000000002","-38","145.17812500000002"
"Severity","58","-37.99677692618379","145.18098454751086","-37.99453125","145.178125","-38","145.1875"
"Severity","5","-37.997545250519266","145.19273981939187","-37.99453125","145.1875","-38","145.196875"
"Severity","11","-37.996898441260456","145.20035605199476","-37.99453125","145.196875","-38","145.20625"
"Severity","61","-37.99808476392429","145.2098366812621","-37.99453125","145.20625","-38","145.21562500000002"
"Severity","121","-37.997533500342925","145.22212323915042","-37.99453125","145.21562500000002","-38","145.22500000000002"
"Severity","11","-37.99650043055992","145.22713811110464","-37.99453125","145.22500000000002","-38","145.23437500000003"
"Severity","71","-37.99655581831604","145.23813621820074","-37.99453125","145.234375","-38","145.24375"
"Severity","28","-37.99665421583444","145.24939749638133","-37.99453125","145.24375","-38","145.253125"
"Severity","23","-37.99765940787657","145.2549416017451","-37.99453125","145.253125","-38","145.26250000000002"
"Severity","44","-37.996589669093886","145.2676501397333","-37.99453125","145.26250000000002","-38","145.27187500000002"
"Severity","121","-37.99781567197518","145.2754904877887","-37.99453125","145.27187500000002","-38","145.28125000000003"
"Severity","36","-37.999058773296035","145.28508462973252","-37.99453125","145.28125","-38","145.290625"
"Severity","25","-37.997209447473175","145.29567734818642","-37.99453125","145.290625","-38","145.3"
"Severity","39","-37.992134648477666","145.03093185625585","-37.9890625","145.028125","-37.99453125","145.0375"
"Severity","39","-37.991012395228765","145.04290523321248","-37.9890625","145.0375","-37.99453125","145.046875"
"Severity","29","-37.99041375690558","145.06315971641334","-37.9890625","145.05625","-37.99453125","145.065625"
"Severity","62","-37.992404214857245","145.06894533390238","-37.9890625","145.065625","-37.99453125","145.07500000000002"
"Severity","82","-37.99176110430725","145.0803021586141","-37.9890625","145.075","-37.99453125","145.084375"
"Severity","25","-37.9920284466513","145.0899786976277","-37.9890625","145.084375","-37.99453125","145.09375"
"Severity","48","-37.99156080642076","145.10758832519545","-37.9890625","145.103125","-37.99453125","145.1125"
"Severity","4","-37.99207292637027","145.11778303333494","-37.9890625","145.1125","-37.99453125","145.12187500000002"
"Severity","16","-37.98971285978708","145.13371838467285","-37.9890625","145.13125","-37.99453125","145.140625"
"Severity","117","-37.99097554586589","145.14479097790542","-37.9890625","145.140625","-37.99453125","145.15"
"Severity","47","-37.99194578998581","145.15288804589906","-37.9890625","145.15","-37.99453125","145.159375"
"Severity","75","-37.9927274011253","145.1635095058787","-37.9890625","145.159375","-37.99453125","145.16875000000002"
"Severity","46","-37.992598637234586","145.17294488259103","-37.9890625","145.16875000000002","-37.99453125","145.17812500000002"
"Severity","18","-37.992033485892485","145.18361405196092","-37.9890625","145.178125","-37.99453125","145.1875"
"Severity","41","-37.992291636100234","145.19235322742466","-37.9890625","145.1875","-37.99453125","145.196875"
"Severity","53","-37.99067128858348","145.20086795499495","-37.9890625","145.196875","-37.99453125","145.20625"
"Severity","275","-37.990978857398424","145.211803643691","-37.9890625","145.20625","-37.99453125","145.21562500000002"
"Severity","121","-37.991250471980884","145.21791163386445","-37.9890625","145.21562500000002","-37.99453125","145.22500000000002"
"Severity","4","-37.99152474169188","145.22932946738354","-37.9890625","145.22500000000002","-37.99453125","145.23437500000003"
"Severity","28","-37.99205963606175","145.23914917546315","-37.9890625","145.234375","-37.99453125","145.24375"
"Severity","19","-37.99183723989502","145.2492855580989","-37.9890625","145.24375","-37.99453125","145.253125"
