"point_name","point_value","acc_lat","acc_long","grid_fromlat","grid_fromlong","grid_tolat","grid_tolong"
"T20060042129<br/>T20130005886<br/>T20120009740<br/>T20100010715<br/>T20070002703","2","-37.85893460963989","144.895576259851","-37.85875","144.8940625","-37.86","144.89640624999998"
"T20120005795<br/>T20120019210<br/>T20120002866<br/>T20110041227<br/>T20060001586","-1","-37.85897443168376","144.897192887591","-37.85875","144.89640624999998","-37.86","144.89874999999998"
"T20130000766<br/>T20060001960<br/>T20080031562<br/>T20060022435<br/>T20070026135<br/>T20100009367","4","-37.85935048067646","144.90033449131067","-37.85875","144.89875","-37.86","144.90109375"
"T20110027099<br/>T20120002182<br/>T20070017267<br/>T20090004098","1","-37.85958032810271","144.90222804133316","-37.85875","144.90109375","-37.86","144.9034375"
"T20110005872<br/>T20130002130<br/>T20090047454<br/>T20120008067<br/>T20080043397<br/>T20060046400<br/>T20070032595<br/>T20090045160","4","-37.85913136550782","144.9696661138516","-37.85875","144.9690625","-37.86","144.97140625"
"T20130003504<br/>T20100022008<br/>T20120011752","1","-37.85964646839383","144.97333203152388","-37.85875","144.97140625","-37.86","144.97375"
"T20080007272<br/>T20130013605<br/>T20070004786<br/>T20070017051","-2","-37.85899426814455","144.97474044928003","-37.85875","144.97375","-37.86","144.97609375"
"T20130004360<br/>T20070016567<br/>T20080009394<br/>T20080041311<br/>T20120025715<br/>T20060010301<br/>T20100047794<br/>T20080048309<br/>T20090008937<br/>T20080044804<br/>T20120020795<br/>T20070002304<br/>T20080039680<br/>T20080046864<br/>T20070015349<br/>T20060043676<br/>T20110003012<br/>T20100038564<br/>T20090029340<br/>T20080017324<br/>T20070011639<br/>T20080044764<br/>T20110037591<br/>T20100038094<br/>T20060002777<br/>T20070032098<br/>T20100045922","32","-37.85974484678587","144.97732514613963","-37.85875","144.97609375","-37.86","144.97843749999998"
"T20100036299<br/>T20070041952<br/>T20080040502","2","-37.85909117078946","144.97942523777743","-37.85875","144.9784375","-37.86","144.98078125"
"T20100039529<br/>T20060030141","-1","-37.85926327112703","144.9814969790438","-37.85875","144.98078125","-37.86","144.983125"
"T20060040609","0","-37.85912763309266","144.98362406395125","-37.85875","144.983125","-37.86","144.98546875"
"T20090001143","-1","-37.85914132930515","144.98812430052268","-37.85875","144.9878125","-37.86","144.99015624999998"
"T20090023009<br/>T20100047961","-1","-37.859064089948504","144.99205522871705","-37.85875","144.99015625","-37.86","144.9925"
"T20060042303<br/>T20060021612","-3","-37.85887439112905","144.999112458498","-37.85875","144.9971875","-37.86","144.99953125"
