"point_name","point_value","acc_lat","acc_long","grid_fromlat","grid_fromlong","grid_tolat","grid_tolong"
"Total","1","-37.859437282888095","144.89463863672017","-37.859375","144.8940625","-37.86","144.895234375"
"Total","3","-37.859413559164345","144.90086162473168","-37.859375","144.899921875","-37.86","144.90109375"
"Total","4","-37.85958032810271","144.90222804133316","-37.859375","144.90109375","-37.86","144.902265625"
"Total","3","-37.85948675732384","144.96926660529314","-37.859375","144.9690625","-37.86","144.97023437500002"
"Total","3","-37.85964646839383","144.97333203152388","-37.859375","144.972578125","-37.86","144.97375000000002"
"Total","3","-37.85970402107136","144.97693144253915","-37.859375","144.97609375","-37.86","144.977265625"
"Total","18","-37.859915026405396","144.97737710201935","-37.859375","144.977265625","-37.86","144.9784375"
"Total","1","-37.85945346201503","145.00238514496738","-37.859375","145.001875","-37.86","145.00304687500002"
"Total","2","-37.859527834167764","145.00411266093636","-37.859375","145.003046875","-37.86","145.00421875"
"Total","3","-37.85973812995346","145.0053104887281","-37.859375","145.00421875","-37.86","145.00539062500002"
"Total","3","-37.85976342273693","145.00694357677187","-37.859375","145.0065625","-37.86","145.007734375"
"Total","2","-37.85997271428419","145.0085579749056","-37.859375","145.007734375","-37.86","145.00890625000002"
"Total","2","-37.85988731771577","145.01061446867007","-37.859375","145.010078125","-37.86","145.01125000000002"
"Total","1","-37.859525489108876","145.02003540091027","-37.859375","145.019453125","-37.86","145.02062500000002"
"Total","1","-37.85973873212253","145.02880884864956","-37.859375","145.02765625","-37.86","145.02882812500002"
"Total","4","-37.85880894132785","144.89581066563372","-37.85875","144.895234375","-37.859375","144.89640625"
"Total","4","-37.858950326779194","144.89699154593336","-37.85875","144.89640624999998","-37.859375","144.897578125"
"Total","1","-37.859070851302036","144.89799825422153","-37.85875","144.897578125","-37.859375","144.89875"
"Total","2","-37.85924431588436","144.8994475092158","-37.85875","144.89875","-37.859375","144.89992187500002"
"Total","1","-37.85937357479706","144.9005270552374","-37.85875","144.899921875","-37.859375","144.90109375"
"Total","3","-37.858913690874736","144.96950244953294","-37.85875","144.9690625","-37.859375","144.97023437500002"
"Total","2","-37.858924789733415","144.97051087316714","-37.85875","144.970234375","-37.859375","144.97140625"
"Total","3","-37.85906893424368","144.9743114470114","-37.85875","144.97375","-37.859375","144.974921875"
"Total","1","-37.85877026984716","144.97602745608597","-37.85875","144.974921875","-37.859375","144.97609375000002"
"Total","3","-37.85926192730381","144.97650282881915","-37.85875","144.97609375","-37.859375","144.977265625"
"Total","3","-37.85924751426529","144.9782294317822","-37.85875","144.977265625","-37.859375","144.9784375"
"Total","2","-37.85905731110312","144.97882441216507","-37.85875","144.9784375","-37.859375","144.97960937500002"
"Total","1","-37.859158890162135","144.98062688900217","-37.85875","144.979609375","-37.859375","144.98078125"
