"point_name","point_value","acc_lat","acc_long","grid_fromlat","grid_fromlong","grid_tolat","grid_tolong"
"Total","2","-37.82479601353511","144.95673380165528","-37.8246875","144.9561875","-37.825","144.95675"
"Total","3","-37.8248583706679","144.95676274806647","-37.8246875","144.95675","-37.825","144.9573125"
"Total","3","-37.8248534813196","144.95802254967361","-37.8246875","144.957875","-37.825","144.9584375"
"Total","1","-37.82469985145349","144.95891245262888","-37.8246875","144.9584375","-37.825","144.959"
"Total","14","-37.824722846987754","144.96375173749786","-37.8246875","144.96349999999998","-37.825","144.96406249999998"
"Total","3","-37.824912681256706","144.97073318977561","-37.8246875","144.97025","-37.825","144.9708125"
"Total","1","-37.82483663198532","144.97143217828764","-37.8246875","144.971375","-37.825","144.9719375"
"Total","1","-37.82499919824304","144.9727080079062","-37.8246875","144.9725","-37.825","144.9730625"
"Total","7","-37.82451772352063","144.95660471445362","-37.824375","144.9561875","-37.8246875","144.95675"
"Total","1","-37.82448486301002","144.95834567672665","-37.824375","144.957875","-37.8246875","144.9584375"
"Total","3","-37.82457027512357","144.95877535380706","-37.824375","144.9584375","-37.8246875","144.959"
"Total","1","-37.824405128551305","144.9620753456187","-37.824375","144.96181249999998","-37.8246875","144.96237499999998"
"Total","1","-37.824548209147714","144.96352459907092","-37.824375","144.96349999999998","-37.8246875","144.96406249999998"
"Total","3","-37.82441263914537","144.97057739985073","-37.824375","144.97025","-37.8246875","144.9708125"
"Total","2","-37.82442495948101","144.97344492191732","-37.824375","144.9730625","-37.8246875","144.973625"
"Total","2","-37.82458603644821","144.97747123464552","-37.824375","144.97699999999998","-37.8246875","144.97756249999998"
"Total","1","-37.8244716688885","144.98317185457196","-37.824375","144.98262499999998","-37.8246875","144.98318749999999"
"Total","6","-37.82419489464794","144.95645494704266","-37.824062500000004","144.9561875","-37.824375","144.95675"
"Total","1","-37.82422008039124","144.95837331288595","-37.824062500000004","144.957875","-37.824375","144.9584375"
"Total","2","-37.8243114400248","144.95876319273668","-37.824062500000004","144.9584375","-37.824375","144.959"
"Total","1","-37.82421434646134","144.960557973297","-37.824062500000004","144.96012499999998","-37.824375","144.96068749999998"
"Total","3","-37.82434091436095","144.96215083569388","-37.824062500000004","144.96181249999998","-37.824375","144.96237499999998"
"Total","3","-37.82431922878484","144.97053450254265","-37.824062500000004","144.97025","-37.824375","144.9708125"
"Total","2","-37.82425712088185","144.97450925640024","-37.824062500000004","144.9741875","-37.824375","144.97475"
"Total","1","-37.82417482119071","144.97515432285854","-37.824062500000004","144.97475","-37.824375","144.9753125"
"Total","1","-37.82414226342927","144.97542545638802","-37.824062500000004","144.9753125","-37.824375","144.975875"
"Total","1","-37.82409349901733","144.97902741388407","-37.824062500000004","144.97868749999998","-37.824375","144.97924999999998"
"Total","1","-37.824170975539744","144.98415964114344","-37.824062500000004","144.98375","-37.824375","144.9843125"
"Total","4","-37.82420421095247","144.98442124425733","-37.824062500000004","144.9843125","-37.824375","144.984875"
"Total","1","-37.82433764310719","144.98547285534102","-37.824062500000004","144.9854375","-37.824375","144.986"
"Total","2","-37.82389309591005","144.95631498266627","-37.823750000000004","144.9561875","-37.824062500000004","144.95675"
"Total","1","-37.82397314328407","144.95841933921577","-37.823750000000004","144.957875","-37.824062500000004","144.9584375"
"Total","1","-37.82401519485365","144.9591238696094","-37.823750000000004","144.959","-37.824062500000004","144.9595625"
"Total","1","-37.82400255372681","144.9606271445167","-37.823750000000004","144.96012499999998","-37.824062500000004","144.96068749999998"
"Total","9","-37.823938720550146","144.96257361949586","-37.823750000000004","144.96237499999998","-37.824062500000004","144.96293749999998"
"Total","2","-37.82387823631276","144.96729013502454","-37.823750000000004","144.966875","-37.824062500000004","144.9674375"
"Total","2","-37.823912382867064","144.97034748046107","-37.823750000000004","144.97025","-37.824062500000004","144.9708125"
"Total","1","-37.82405533263867","144.97148961229806","-37.823750000000004","144.971375","-37.824062500000004","144.9719375"
"Total","1","-37.82404714575244","144.9764208144362","-37.823750000000004","144.975875","-37.824062500000004","144.9764375"
"Total","1","-37.8238581905005","144.97675378516988","-37.823750000000004","144.9764375","-37.824062500000004","144.977"
"Total","1","-37.82376136906586","144.98093148997242","-37.823750000000004","144.98037499999998","-37.824062500000004","144.98093749999998"
"Total","3","-37.82377688537825","144.98105377638623","-37.823750000000004","144.98093749999998","-37.824062500000004","144.98149999999998"
"Total","1","-37.8239112947369","144.982112824235","-37.823750000000004","144.98206249999998","-37.824062500000004","144.98262499999998"
"Total","3","-37.82402407697398","144.98300165810392","-37.823750000000004","144.98262499999998","-37.824062500000004","144.98318749999999"
"Total","1","-37.82346494196083","144.95825186424634","-37.823437500000004","144.957875","-37.823750000000004","144.9584375"
"Total","1","-37.82356078245415","144.95947758809007","-37.823437500000004","144.959","-37.823750000000004","144.9595625"
"Total","1","-37.82348013740705","144.95997739290567","-37.823437500000004","144.95956249999998","-37.823750000000004","144.96012499999998"
"Total","5","-37.823525618989734","144.96078284665595","-37.823437500000004","144.96068749999998","-37.823750000000004","144.96124999999998"
"Total","1","-37.82352853514719","144.96604321566952","-37.823437500000004","144.96574999999999","-37.823750000000004","144.9663125"
"Total","2","-37.823526665467035","144.96739518355054","-37.823437500000004","144.966875","-37.823750000000004","144.9674375"
"Total","30","-37.823463540141894","144.97012627785506","-37.823437500000004","144.9696875","-37.823750000000004","144.97025"
"Total","2","-37.8237218525587","144.9702599848706","-37.823437500000004","144.97025","-37.823750000000004","144.9708125"
"Total","1","-37.82364254096471","144.97650465360314","-37.823437500000004","144.9764375","-37.823750000000004","144.977"
"Total","23","-37.8234624620984","144.9785081728934","-37.823437500000004","144.97812499999998","-37.823750000000004","144.97868749999998"
"Total","2","-37.823535012201106","144.9791336012501","-37.823437500000004","144.97868749999998","-37.823750000000004","144.97924999999998"
"Total","2","-37.823579493765905","144.97949824411495","-37.823437500000004","144.97924999999998","-37.823750000000004","144.97981249999998"
"Total","3","-37.82366381775032","144.9801626011601","-37.823437500000004","144.97981249999998","-37.823750000000004","144.98037499999998"
"Total","1","-37.82374125173813","144.9807727070092","-37.823437500000004","144.98037499999998","-37.823750000000004","144.98093749999998"
"Total","1","-37.823420792581224","144.95824541498678","-37.823125000000005","144.957875","-37.823437500000004","144.9584375"
"Total","2","-37.82336484163848","144.96099730619065","-37.823125000000005","144.96068749999998","-37.823437500000004","144.96124999999998"
"Total","1","-37.823140207662945","144.9650752256638","-37.823125000000005","144.96462499999998","-37.823437500000004","144.96518749999998"
"Total","7","-37.82331923151887","144.9652152522704","-37.823125000000005","144.96518749999998","-37.823437500000004","144.96574999999999"
"Total","2","-37.82332556634937","144.96610464297294","-37.823125000000005","144.96574999999999","-37.823437500000004","144.9663125"
"Total","1","-37.82326330003125","144.970049475331","-37.823125000000005","144.9696875","-37.823437500000004","144.97025"
"Total","7","-37.823375747266205","144.97043447205948","-37.823125000000005","144.97025","-37.823437500000004","144.9708125"
"Total","2","-37.82326403136752","144.97117296790748","-37.823125000000005","144.9708125","-37.823437500000004","144.971375"
"Total","11","-37.823283314343556","144.9761132001809","-37.823125000000005","144.975875","-37.823437500000004","144.9764375"
"Total","2","-37.82332215741579","144.97649572569816","-37.823125000000005","144.9764375","-37.823437500000004","144.977"
"Total","1","-37.823367062382786","144.97714023132883","-37.823125000000005","144.97699999999998","-37.823437500000004","144.97756249999998"
"Total","1","-37.823398322199374","144.97758943786107","-37.823125000000005","144.97756249999998","-37.823437500000004","144.97812499999998"
"Total","1","-37.823263675320014","144.97831878639866","-37.823125000000005","144.97812499999998","-37.823437500000004","144.97868749999998"
"Total","2","-37.82303529773914","144.96094460774458","-37.822812500000005","144.96068749999998","-37.823125000000005","144.96124999999998"
"Total","16","-37.82286311383702","144.96392688900352","-37.822812500000005","144.96349999999998","-37.823125000000005","144.96406249999998"
"Total","3","-37.82300553491899","144.96993130380469","-37.822812500000005","144.9696875","-37.823125000000005","144.97025"
"Total","1","-37.822986881770724","144.97148479948967","-37.822812500000005","144.971375","-37.823125000000005","144.9719375"
"Total","4","-37.8229732663318","144.97575011939756","-37.822812500000005","144.9753125","-37.823125000000005","144.975875"
"Total","11","-37.822675700969754","144.95015504627824","-37.822500000000005","144.95","-37.822812500000005","144.9505625"
"Total","1","-37.82279902762735","144.95207025755604","-37.822500000000005","144.9516875","-37.822812500000005","144.95225"
"Total","1","-37.8226217509846","144.9583040191269","-37.822500000000005","144.957875","-37.822812500000005","144.9584375"
"Total","1","-37.822502708081764","144.96112133614176","-37.822500000000005","144.96068749999998","-37.822812500000005","144.96124999999998"
"Total","1","-37.82256689206872","144.96377170496817","-37.822500000000005","144.96349999999998","-37.822812500000005","144.96406249999998"
"Total","8","-37.82268829053157","144.96419325723423","-37.822500000000005","144.96406249999998","-37.822812500000005","144.96462499999998"
